scenario,seed,policy,k,true_T_C,reading_C,requested,accepted,applied,acknowledged,decision_id,cumulative_effort,lo_C,hi_C,valid,reason,predicted_peak_C,pending_json,next_T_C,interval_miss,breach
delay_20,4000,interval_queue,40,75.03702926978585,75.2577750041499,1.0,1.0,1.0,1.0,41,21.0,74.95777500414991,75.5577750041499,1,,90.28910694357714,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",75.2201866874928,0,0
delay_20,4000,interval_queue,41,75.2201866874928,75.15012911833799,1.0,1.0,1.0,1.0,42,22.0,74.85012911833799,75.45012911833798,1,,90.19221623509557,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",75.4061496225022,0,0
delay_20,4000,interval_queue,42,75.4061496225022,75.43132596588266,1.0,1.0,1.0,1.0,43,23.0,75.13132596588267,75.73132596588266,1,,90.44531798232809,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",75.59075731771046,0,0
delay_20,4000,interval_queue,43,75.59075731771046,75.41088245596762,1.0,1.0,1.0,1.0,44,24.0,75.11088245596763,75.71088245596762,1,,90.42691703607196,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",75.77314793665815,0,0
delay_20,4000,interval_queue,44,75.77314793665815,75.75848392894198,1.0,1.0,1.0,1.0,45,25.0,75.45848392894199,76.05848392894198,1,,90.73978875180639,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",75.94674702782001,0,0
delay_20,4000,interval_queue,45,75.94674702782001,76.20442039158434,1.0,1.0,1.0,1.0,46,26.0,75.90442039158434,76.50442039158433,1,,91.14117055546107,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",76.13885233558642,0,0
delay_20,4000,interval_queue,46,76.13885233558642,76.13672481368621,1.0,1.0,1.0,1.0,47,27.0,75.83672481368622,76.43672481368621,1,,91.08023861687236,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",76.30906403022345,0,0
delay_20,4000,interval_queue,47,76.30906403022345,76.1839994511977,1.0,1.0,1.0,1.0,48,28.0,75.88399945119771,76.4839994511977,1,,91.12278992375373,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",76.48957099964076,0,0
delay_20,4000,interval_queue,48,76.48957099964076,76.78848613785212,1.0,1.0,1.0,1.0,49,29.0,76.48848613785212,77.08848613785212,1,,91.66688079072813,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",76.64879879282603,0,0
delay_20,4000,interval_queue,49,76.64879879282603,76.73158186825908,1.0,1.0,1.0,1.0,50,30.0,76.43158186825909,77.03158186825908,1,,91.61566197307512,"[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]",76.80904787609836,0,0
