scenario,seed,policy,in_contract,max_T_C,breach_steps,interval_misses,invalid_steps,effort_fraction,clipped_steps,missing_steps
upper_corner,4008,interval_queue,True,104.99950464353,0,0,0,0.7011320754717028,781,74
upper_corner,4008,interval_no_queue,True,116.17343515943527,49,0,838,0.0779245283018868,92,74
upper_corner,4008,interval_exact_clip,True,176.18450675450742,833,853,0,0.8976100628930805,781,74
upper_corner,4009,interval_queue,True,104.99996820141271,0,0,0,0.7086792452830237,759,80
upper_corner,4009,interval_no_queue,True,116.16408420707245,49,0,822,0.09786163522012578,93,80
upper_corner,4009,interval_exact_clip,True,176.3234971552653,818,838,0,0.9003144654088032,759,80
upper_corner,4010,interval_queue,True,104.99919740062539,0,0,0,0.7072955974842815,770,72
upper_corner,4010,interval_no_queue,True,116.21674576434327,49,0,825,0.09421383647798742,94,72
upper_corner,4010,interval_exact_clip,True,176.18144846058297,821,841,0,0.8994968553459112,770,72
upper_corner,4011,interval_queue,True,104.99993102061853,0,0,0,0.7037735849056651,771,79
upper_corner,4011,interval_no_queue,True,116.20226000384088,49,0,832,0.08528301886792453,93,79
upper_corner,4011,interval_exact_clip,True,176.31671330334203,828,848,0,0.8982389937106908,771,79
upper_corner,4012,interval_queue,True,104.99987710640777,0,0,0,0.7105660377358539,756,78
upper_corner,4012,interval_no_queue,True,116.19017588690645,49,0,818,0.10289308176100628,95,78
upper_corner,4012,interval_exact_clip,True,176.3037850597521,814,834,0,0.9000628930817606,756,78
upper_corner,4013,interval_queue,True,104.99991907194035,0,0,0,0.710188679245288,761,75
upper_corner,4013,interval_no_queue,True,116.1969159555572,49,0,819,0.10176100628930819,94,75
upper_corner,4013,interval_exact_clip,True,175.96488754090078,814,834,0,0.899748427672954,761,75
upper_corner,4014,interval_queue,True,104.99959690808403,0,0,0,0.7090566037735898,762,76
upper_corner,4014,interval_no_queue,True,116.16690495662836,49,0,821,0.09905660377358491,94,76
upper_corner,4014,interval_exact_clip,True,176.03578047710712,817,837,0,0.9003144654088034,762,76
upper_corner,4015,interval_queue,True,104.99934506360678,0,0,0,0.7014465408805078,763,92
upper_corner,4015,interval_no_queue,True,116.18976623549169,49,0,837,0.07905660377358491,87,92
upper_corner,4015,interval_exact_clip,True,175.99982972159935,833,853,0,0.896477987421382,763,92
upper_corner,4016,interval_queue,True,104.99961401302065,0,0,0,0.7066666666666714,770,74
upper_corner,4016,interval_no_queue,True,116.15260855642661,49,0,826,0.09276729559748427,94,74
upper_corner,4016,interval_exact_clip,True,176.19419207541898,822,842,0,0.8989937106918225,770,74
upper_corner,4017,interval_queue,True,104.99956301263235,0,0,0,0.709811320754722,759,79
upper_corner,4017,interval_no_queue,True,116.23152184552035,49,0,819,0.10138364779874214,96,79
upper_corner,4017,interval_exact_clip,True,175.89298653895096,815,835,0,0.8993710691823885,759,79
upper_corner,4018,interval_queue,True,104.99921954246705,0,0,0,0.7030817610062939,777,73
upper_corner,4018,interval_no_queue,True,116.15014390810414,48,0,834,0.0829559748427673,95,73
upper_corner,4018,interval_exact_clip,True,176.42237396658584,829,849,0,0.898490566037735,777,73
upper_corner,4019,interval_queue,True,104.99996700677774,0,0,0,0.7098113207547218,763,74
upper_corner,4019,interval_no_queue,True,116.20750053971655,49,0,820,0.10056603773584906,90,74
upper_corner,4019,interval_exact_clip,True,176.31045207341245,815,835,0,0.9005660377358471,763,74
